iter	Passed	Remaining
602	3032	1996
603	3037	1991
604	3042	1986
605	3047	1981
606	3052	1976
607	3057	1971
608	3062	1965
609	3067	1960
610	3071	1955
611	3076	1950
612	3081	1945
613	3086	1940
614	3090	1934
615	3095	1929
616	3100	1924
617	3106	1919
618	3110	1914
619	3115	1909
620	3120	1904
621	3125	1899
622	3130	1894
623	3135	1889
624	3140	1884
625	3145	1879
626	3149	1873
627	3154	1868
628	3159	1863
629	3164	1858
630	3169	1853
631	3173	1848
632	3178	1842
633	3183	1837
634	3188	1832
635	3193	1827
636	3197	1822
637	3202	1817
638	3207	1811
639	3211	1806
640	3216	1801
641	3221	1796
642	3226	1791
643	3230	1785
644	3235	1780
645	3240	1775
646	3245	1770
647	3249	1765
648	3254	1760
649	3259	1755
650	3264	1750
651	3269	1744
652	3273	1739
653	3278	1734
654	3283	1729
655	3288	1724
656	3293	1719
657	3298	1714
658	3302	1708
659	3307	1704
660	3312	1698
661	3317	1693
662	3322	1688
663	3326	1683
664	3331	1678
665	3336	1673
666	3341	1668
667	3346	1663
668	3350	1657
669	3355	1652
670	3360	1647
671	3365	1642
672	3369	1637
673	3374	1632
674	3379	1627
675	3384	1621
676	3388	1616
677	3393	1611
678	3398	1606
679	3403	1601
680	3408	1596
681	3412	1591
682	3417	1586
683	3422	1581
684	3427	1576
685	3432	1571
686	3437	1565
687	3442	1560
688	3446	1555
689	3451	1550
690	3456	1545
691	3461	1540
692	3466	1535
693	3471	1530
694	3476	1525
695	3480	1520
696	3485	1515
697	3491	1510
698	3496	1505
699	3501	1500
700	3506	1495
701	3511	1490
702	3516	1485
703	3521	1480
704	3525	1475
705	3530	1470
706	3535	1465
707	3539	1459
708	3544	1454
709	3549	1449
710	3554	1444
711	3559	1439
712	3564	1434
713	3569	1429
714	3575	1425
715	3579	1419
716	3584	1414
717	3589	1409
718	3594	1404
719	3598	1399
720	3603	1394
721	3608	1389
722	3612	1384
723	3617	1379
724	3622	1374
725	3627	1369
726	3632	1363
727	3637	1358
728	3641	1353
729	3646	1348
730	3651	1343
731	3656	1338
732	3660	1333
733	3665	1328
734	3670	1323
735	3675	1318
736	3680	1313
737	3685	1308
738	3689	1303
739	3694	1298
740	3699	1293
741	3704	1288
742	3709	1283
743	3715	1278
744	3720	1273
745	3726	1268
746	3731	1263
747	3736	1258
748	3742	1254
749	3747	1249
750	3753	1244
751	3758	1239
752	3763	1234
753	3768	1229
754	3774	1224
755	3779	1219
756	3785	1215
757	3790	1210
758	3795	1205
759	3801	1200
760	3806	1195
761	3811	1190
762	3817	1185
763	3822	1180
764	3828	1175
765	3833	1171
766	3839	1166
767	3844	1161
768	3849	1156
769	3854	1151
770	3859	1146
771	3863	1141
772	3868	1136
773	3873	1131
774	3878	1126
775	3883	1121
776	3888	1115
777	3893	1110
778	3897	1105
779	3902	1100
780	3907	1095
781	3912	1090
782	3917	1085
783	3923	1080
784	3928	1075
785	3932	1070
786	3937	1065
787	3942	1060
788	3946	1055
789	3951	1050
790	3956	1045
791	3961	1040
792	3965	1035
793	3970	1030
794	3975	1025
795	3980	1020
796	3984	1014
797	3989	1009
798	3994	1004
799	3999	999
800	4003	994
801	4008	989
802	4013	984
803	4017	979
804	4022	974
805	4027	969
806	4032	964
807	4037	959
808	4042	954
809	4046	949
810	4051	944
811	4056	939
812	4060	934
813	4065	929
814	4070	923
815	4075	918
816	4079	913
817	4084	908
818	4089	903
819	4094	898
820	4098	893
821	4103	888
822	4108	883
823	4113	878
824	4118	873
825	4122	868
826	4127	863
827	4132	858
828	4137	853
829	4141	848
830	4146	843
831	4151	838
832	4156	833
833	4160	828
834	4166	823
835	4170	818
836	4175	813
837	4180	808
838	4184	803
839	4189	798
840	4194	792
841	4199	787
842	4203	782
843	4208	777
844	4213	772
845	4217	767
846	4222	762
847	4227	757
848	4232	752
849	4236	747
850	4241	742
851	4246	737
852	4250	732
853	4255	727
854	4260	722
855	4265	717
856	4270	712
857	4275	707
858	4279	702
859	4284	697
860	4289	692
861	4294	687
862	4299	682
863	4303	677
864	4308	672
865	4313	667
866	4317	662
867	4322	657
868	4327	652
869	4332	647
870	4336	642
871	4341	637
872	4346	632
873	4351	627
874	4355	622
875	4360	617
876	4365	612
877	4369	607
878	4374	602
879	4379	597
880	4383	592
881	4388	587
882	4393	582
883	4398	577
884	4402	572
885	4407	567
886	4412	562
887	4417	557
888	4422	552
889	4427	547
890	4432	542
891	4436	537
892	4441	532
893	4446	527
894	4451	522
895	4456	517
896	4461	512
897	4466	507
898	4471	502
899	4476	497
900	4481	492
901	4485	487
902	4490	482
903	4495	477
904	4500	472
905	4505	467
906	4510	462
907	4514	457
908	4519	452
909	4524	447
910	4529	442
911	4533	437
912	4538	432
913	4543	427
914	4547	422
915	4552	417
916	4557	412
917	4561	407
918	4566	402
919	4570	397
920	4575	392
921	4579	387
922	4584	382
923	4588	377
924	4593	372
925	4598	367
926	4602	362
927	4607	357
928	4612	352
929	4616	347
930	4621	342
931	4625	337
932	4630	332
933	4634	327
934	4638	322
935	4643	317
936	4647	312
937	4651	307
938	4656	302
939	4660	297
940	4665	292
941	4669	287
942	4674	282
943	4678	277
944	4683	272
945	4687	267
946	4691	262
947	4695	257
948	4700	252
949	4704	247
950	4709	242
951	4713	237
952	4717	232
953	4721	227
954	4726	222
955	4730	217
956	4734	212
957	4738	207
958	4743	202
959	4747	197
960	4751	192
961	4755	187
962	4759	182
963	4763	177
964	4767	172
965	4771	167
966	4776	162
967	4780	158
968	4784	153
969	4789	148
970	4793	143
971	4797	138
972	4801	133
973	4805	128
974	4809	123
975	4814	118
976	4821	113
977	4829	108
978	4840	103
979	4852	99
980	4864	94
981	4874	89
982	4878	84
983	4882	79
984	4886	74
985	4890	69
986	4893	64
987	4897	59
988	4901	54
989	4905	49
990	4909	44
991	4912	39
992	4916	34
993	4920	29
994	4923	24
995	4927	19
996	4930	14
997	4934	9
998	4938	4
999	4942	0
